"","search","maxDepth","duration","odbaMean","bottomPcnt","bathy","diveRatio","shoreDist","slope","terrainRugg","rugosity"
"1611","1",-8.726042275,244.985281,0.183050542,0.872951998,-15.4996996,0.56298138,0.007398397,0.279417,0.058767,0.959611
"1612","1",-8.762858028,230.5696481,0.225530913,0.918324607,-16.1639004,0.542125218,0.007811407,0.228792,0.048432,0.967649
"1613","1",-10.10285979,193.7509346,0.179625011,0.911163032,-16.5384007,0.610872839,0.008068764,0.318149,0.0483925,0.944809
"1614","1",-10.49852891,335.5532801,0.158842436,0.946096654,-16.2413006,0.646409371,0.008020181,0.0392736,0.0435611,0.956127
"1615","1",-10.07411561,265.5474258,0.194381844,0.954729704,-16.0060005,0.629396182,0.007971061,-0.213214,0.0359809,0.962015
"1616","1",-10.08194187,274.6515066,0.184054341,0.952823969,-15.6620998,0.643715849,0.007843635,-0.214221,0.0204462,0.965674
"1617","1",-10.05287599,375.3396221,0.156835437,0.97684329,-15.0614004,0.66745958,0.007303641,-0.207261,0.167242,0.949852
"1618","1",-9.794372951,119.5904004,0.220366161,0.8868607,-14.5586996,0.672750535,0.006992095,-0.565174,0.311038,0.343266
"1619","1",-9.439385917,295.6261016,0.158600449,0.944056896,-16.8497009,0.560210889,0.00682189,-0.977676,0.218896,-0.163418
"1620","1",-9.003108037,311.8726104,0.151042482,0.936262177,-25.0090008,0.359994712,0.007454933,-0.11353,0.0795801,0.992556
"1621","1",-12.98529587,263.5857731,0.156466204,0.140561789,-24.6063995,0.527720273,0.008253092,0.222818,0.0847921,0.919936
"1622","0",-20.06122177,174.5870961,0.140776818,0.56329588,-11.6702995,1,0.007430075,0.894126,0.0566016,0.439917
"1623","0",-12.98796663,252.0271114,0.143181982,0.083662635,-8.8479099,1,0.007067045,-0.106369,0.0921193,0.950731
"1624","1",-4.318711283,241.3235291,0.142015283,0.310767435,-9.66117,0.44701742,0.007326034,-0.376011,0.0146761,0.915891
"1625","1",-4.505241886,133.7645991,0.251513939,0.41234865,-10.4237003,0.432211379,0.00758986,-0.0981061,0.0314411,0.977974
"1626","0",-5.480714477,239.1003227,0.112903746,0.276632447,-11.1293001,0.492458145,0.007979433,0.325103,0.0191361,0.928389
"1627","0",-6.731448844,246.8966349,0.123910243,0.699588477,-11.1890001,0.601613083,0.008504909,0.533339,0.0342826,0.826084
"1628","1",-8.063861446,289.9725177,0.131958958,0.913026886,-11.7880001,0.684073751,0.008944027,0.0881712,0.0247402,0.994718
"1629","1",-7.739162752,247.017352,0.188039743,0.76428426,-12.3629999,0.625993919,0.009474071,0.476862,0.0080549,0.878705
"1630","1",-9.533211939,238.879008,0.124595523,0.097321654,-12.6028996,0.756430047,0.009735846,0.526101,0.0054516,0.849753
"1631","0",-9.973298264,344.1342535,0.113199302,0.657049315,-12.4684,0.799885973,0.009338897,0.280609,0.0193147,0.950561
"1632","1",-10.06466318,281.7738151,0.199484196,0.840307033,-11.7890997,0.853726191,0.008956886,0.416326,0.0295588,0.885026
"1633","1",-8.834747892,271.9454318,0.163800023,0.962712241,-11.9314003,0.740461947,0.008564173,0.402573,0.0154199,0.899665
"1634","1",-9.104288155,271.4022049,0.153274335,0.921753957,-11.3540001,0.801857326,0.008222043,0.0700706,0.0149542,0.991228
"1635","1",-8.159521393,254.8438436,0.153953282,0.736588639,-10.4998999,0.777104684,0.00801151,-0.177706,0.0645998,0.977516
"1636","1",-5.999962254,275.5971238,0.1355958,0.309497737,-9.5360603,0.629186694,0.007719689,0.606938,0.180989,0.784854
"1637","1",-4.046459214,220.2382768,0.153787297,0.578586763,-8.9766397,0.45077661,0.007203231,0.865971,0.0682384,0.497613
"1638","1",-3.721693508,231.3040104,0.132274463,0.337407037,-10.1183004,0.367818049,0.006751893,0.991495,0.0311987,0.117873
"1639","0",-3.03857323,247.4499216,0.12550561,0.367875437,-19.1541996,0.158637442,0.006521245,0.983702,0.0846547,-0.0369837
"1640","1",-11.99065481,201.9697567,0.131521556,0.277182846,-20.4023991,0.58770808,0.006643134,0.484704,0.107305,0.80534
